,param,importance,dataset,algorithm
0,algorithm,0.0778381670439952,mfeat-fourier,AdaBoost
1,learning_rate,0.0272071209303854,mfeat-fourier,AdaBoost
2,max_depth,0.6555131238961541,mfeat-fourier,AdaBoost
3,n_estimators,0.0235887164515752,mfeat-fourier,AdaBoost
4,('algorithm'; 'max_depth'),0.048183238657205,mfeat-fourier,AdaBoost
5,('learning_rate'; 'max_depth'),0.0387232536583757,mfeat-fourier,AdaBoost
6,('max_depth'; 'n_estimators'),0.0351246269058847,mfeat-fourier,AdaBoost
7,('algorithm'; 'learning_rate'),0.0095459427312063,mfeat-fourier,AdaBoost
8,('algorithm'; 'n_estimators'),0.0068143441498883,mfeat-fourier,AdaBoost
9,('learning_rate'; 'n_estimators'),0.0045733379658592,mfeat-fourier,AdaBoost
10,('algorithm'; 'max_depth'; 'learning_rate'),0.0304343027017638,mfeat-fourier,AdaBoost
11,criterion,0.0001693676623915,mfeat-fourier,GradientBoosting
12,learning_rate,0.6106097092148127,mfeat-fourier,GradientBoosting
13,max_depth,0.0156360277914072,mfeat-fourier,GradientBoosting
14,max_features,0.0089904513412539,mfeat-fourier,GradientBoosting
15,min_samples_leaf,0.0066667662169325,mfeat-fourier,GradientBoosting
16,min_samples_split,0.0015883929398648,mfeat-fourier,GradientBoosting
17,n_estimators,0.0151682394416364,mfeat-fourier,GradientBoosting
18,('learning_rate'; 'n_estimators'),0.0470669509654422,mfeat-fourier,GradientBoosting
19,('learning_rate'; 'max_depth'),0.0384193934612901,mfeat-fourier,GradientBoosting
20,('learning_rate'; 'min_samples_leaf'),0.0243986455973617,mfeat-fourier,GradientBoosting
21,('learning_rate'; 'max_features'),0.0232858278653244,mfeat-fourier,GradientBoosting
22,('max_depth'; 'n_estimators'),0.0139065525594107,mfeat-fourier,GradientBoosting
23,('learning_rate'; 'min_samples_split'),0.0068595600617533,mfeat-fourier,GradientBoosting
24,('max_features'; 'n_estimators'),0.0052963334235809,mfeat-fourier,GradientBoosting
25,('max_depth'; 'max_features'),0.0041239649964103,mfeat-fourier,GradientBoosting
26,('max_features'; 'min_samples_leaf'),0.0038429037621804,mfeat-fourier,GradientBoosting
27,('min_samples_leaf'; 'n_estimators'),0.0024847515925487,mfeat-fourier,GradientBoosting
28,('criterion'; 'max_features'; 'min_samples_leaf'),8.905776139591043e-05,mfeat-fourier,GradientBoosting
29,bootstrap,0.1697155422829225,mfeat-fourier,ExtraTrees
30,criterion,0.0049172590252912,mfeat-fourier,ExtraTrees
31,max_features,0.1107862139799865,mfeat-fourier,ExtraTrees
32,min_samples_leaf,0.5093328488788655,mfeat-fourier,ExtraTrees
33,min_samples_split,0.0055770899371082,mfeat-fourier,ExtraTrees
34,('max_features'; 'min_samples_leaf'),0.0310700936713346,mfeat-fourier,ExtraTrees
35,('min_samples_leaf'; 'min_samples_split'),0.0167148444212867,mfeat-fourier,ExtraTrees
36,('bootstrap'; 'min_samples_leaf'),0.0157816293054234,mfeat-fourier,ExtraTrees
37,('bootstrap'; 'max_features'),0.0156739052995233,mfeat-fourier,ExtraTrees
38,('max_features'; 'min_samples_split'),0.0056569993256135,mfeat-fourier,ExtraTrees
39,('criterion'; 'min_samples_leaf'),0.0035006966839978,mfeat-fourier,ExtraTrees
40,('bootstrap'; 'min_samples_split'),0.0033102167381187,mfeat-fourier,ExtraTrees
41,('criterion'; 'max_features'),0.0031042819267807,mfeat-fourier,ExtraTrees
42,('criterion'; 'min_samples_split'),0.0008105588890102,mfeat-fourier,ExtraTrees
43,('bootstrap'; 'criterion'),0.000702542564256,mfeat-fourier,ExtraTrees
44,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0264434545099506,mfeat-fourier,ExtraTrees
45,('bootstrap'; 'max_features'; 'min_samples_split'),0.0045789812324987,mfeat-fourier,ExtraTrees
46,criterion,0.0091077194772719,mfeat-fourier,DecisionTree
47,max_features,0.731728910223801,mfeat-fourier,DecisionTree
48,min_samples_leaf,0.0746242907627853,mfeat-fourier,DecisionTree
49,min_samples_split,0.0038634429565852,mfeat-fourier,DecisionTree
50,('max_features'; 'min_samples_leaf'),0.0510195293342219,mfeat-fourier,DecisionTree
51,('max_features'; 'min_samples_split'),0.0202014635573811,mfeat-fourier,DecisionTree
52,('min_samples_leaf'; 'min_samples_split'),0.0159272996137541,mfeat-fourier,DecisionTree
53,('criterion'; 'max_features'),0.0120399889766538,mfeat-fourier,DecisionTree
54,('criterion'; 'min_samples_leaf'),0.0043783785410071,mfeat-fourier,DecisionTree
55,('criterion'; 'min_samples_split'),0.0027416837916056,mfeat-fourier,DecisionTree
56,('criterion'; 'max_features'; 'min_samples_leaf'),0.0160067164670074,mfeat-fourier,DecisionTree
57,bootstrap,0.0220902381659404,mfeat-fourier,RandomForest
58,criterion,0.0793334595276177,mfeat-fourier,RandomForest
59,max_features,0.4448162455696339,mfeat-fourier,RandomForest
60,min_samples_leaf,0.2464389066358711,mfeat-fourier,RandomForest
61,min_samples_split,0.0026180713509017,mfeat-fourier,RandomForest
62,('max_features'; 'min_samples_leaf'),0.0398307080567527,mfeat-fourier,RandomForest
63,('bootstrap'; 'max_features'),0.0282335151433877,mfeat-fourier,RandomForest
64,('criterion'; 'max_features'),0.0123176348222845,mfeat-fourier,RandomForest
65,('criterion'; 'min_samples_leaf'),0.011499210180338,mfeat-fourier,RandomForest
66,('max_features'; 'min_samples_split'),0.0062601008945866,mfeat-fourier,RandomForest
67,('min_samples_leaf'; 'min_samples_split'),0.0052721453030704,mfeat-fourier,RandomForest
68,('bootstrap'; 'min_samples_leaf'),0.0043434549853624,mfeat-fourier,RandomForest
69,('criterion'; 'min_samples_split'),0.001413531453284,mfeat-fourier,RandomForest
70,('bootstrap'; 'min_samples_split'),0.0010787377189578,mfeat-fourier,RandomForest
71,('bootstrap'; 'criterion'),0.0009328477720431,mfeat-fourier,RandomForest
72,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.011772552639512,mfeat-fourier,RandomForest
73,('bootstrap'; 'max_features'; 'min_samples_split'),0.002180280535841,mfeat-fourier,RandomForest
74,C,0.0061389506690893,mfeat-fourier,SVM
75,coef0,0.002452639070136,mfeat-fourier,SVM
76,gamma,0.2491491605377619,mfeat-fourier,SVM
77,kernel,0.5690836948456994,mfeat-fourier,SVM
78,shrinking,4.762008968780668e-05,mfeat-fourier,SVM
79,tol,0.0021980525459569,mfeat-fourier,SVM
80,('gamma'; 'kernel'),0.1120113953399049,mfeat-fourier,SVM
81,('C'; 'gamma'),0.0085143716236337,mfeat-fourier,SVM
82,('coef0'; 'gamma'),0.0078085355678435,mfeat-fourier,SVM
83,('gamma'; 'tol'),0.0073393358367523,mfeat-fourier,SVM
84,('C'; 'kernel'),0.0057449274403117,mfeat-fourier,SVM
85,('coef0'; 'kernel'),0.0027999400831078,mfeat-fourier,SVM
86,('kernel'; 'tol'),0.0019680975250229,mfeat-fourier,SVM
87,('gamma'; 'shrinking'),0.0008939360157035,mfeat-fourier,SVM
88,('coef0'; 'tol'),0.0008907384154219,mfeat-fourier,SVM
89,('C'; 'coef0'),0.0007325830454411,mfeat-fourier,SVM
90,('C'; 'kernel'; 'gamma'),0.0060231039044007,mfeat-fourier,SVM
91,algorithm,0.0503153453908328,satimage,AdaBoost
92,learning_rate,0.0428617613255563,satimage,AdaBoost
93,max_depth,0.7164692418072471,satimage,AdaBoost
94,n_estimators,0.008350582726906,satimage,AdaBoost
95,('algorithm'; 'max_depth'),0.0566118746235567,satimage,AdaBoost
96,('learning_rate'; 'max_depth'),0.0286156603557035,satimage,AdaBoost
97,('max_depth'; 'n_estimators'),0.0212168387806896,satimage,AdaBoost
98,('learning_rate'; 'n_estimators'),0.0087711987479301,satimage,AdaBoost
99,('algorithm'; 'learning_rate'),0.0063010864890244,satimage,AdaBoost
100,('algorithm'; 'n_estimators'),0.0034342723752832,satimage,AdaBoost
101,('algorithm'; 'max_depth'; 'learning_rate'),0.0250969513699886,satimage,AdaBoost
102,criterion,0.0006132560824519,satimage,GradientBoosting
103,learning_rate,0.3564116024853655,satimage,GradientBoosting
104,max_depth,0.054061221212954,satimage,GradientBoosting
105,max_features,0.0225320606411552,satimage,GradientBoosting
106,min_samples_leaf,0.0165108844171944,satimage,GradientBoosting
107,min_samples_split,0.0027420605779407,satimage,GradientBoosting
108,n_estimators,0.003552436383777,satimage,GradientBoosting
109,('learning_rate'; 'max_depth'),0.111052355559832,satimage,GradientBoosting
110,('learning_rate'; 'min_samples_leaf'),0.0699966535784395,satimage,GradientBoosting
111,('learning_rate'; 'max_features'),0.0466211976239403,satimage,GradientBoosting
112,('learning_rate'; 'n_estimators'),0.0222973234125616,satimage,GradientBoosting
113,('learning_rate'; 'min_samples_split'),0.0116837029792532,satimage,GradientBoosting
114,('max_depth'; 'max_features'),0.008190205119903,satimage,GradientBoosting
115,('max_depth'; 'min_samples_leaf'),0.0078735541455526,satimage,GradientBoosting
116,('max_depth'; 'n_estimators'),0.0054962572295096,satimage,GradientBoosting
117,('max_features'; 'min_samples_leaf'),0.0043767408995455,satimage,GradientBoosting
118,('criterion'; 'learning_rate'),0.0041905508015629,satimage,GradientBoosting
119,('criterion'; 'max_features'; 'min_samples_leaf'),0.0001028525558433,satimage,GradientBoosting
120,bootstrap,0.0861661112822497,satimage,ExtraTrees
121,criterion,0.0003646017106303,satimage,ExtraTrees
122,max_features,0.1859431871033083,satimage,ExtraTrees
123,min_samples_leaf,0.6086590274943133,satimage,ExtraTrees
124,min_samples_split,0.004331573539585,satimage,ExtraTrees
125,('max_features'; 'min_samples_leaf'),0.028722872305152,satimage,ExtraTrees
126,('min_samples_leaf'; 'min_samples_split'),0.0151842248905135,satimage,ExtraTrees
127,('bootstrap'; 'min_samples_leaf'),0.0066681041276266,satimage,ExtraTrees
128,('bootstrap'; 'max_features'),0.0065816316211065,satimage,ExtraTrees
129,('max_features'; 'min_samples_split'),0.0033149808815474,satimage,ExtraTrees
130,('criterion'; 'min_samples_leaf'),0.0014857133808314,satimage,ExtraTrees
131,('criterion'; 'max_features'),0.0012402371399033,satimage,ExtraTrees
132,('bootstrap'; 'min_samples_split'),0.0010206213335922,satimage,ExtraTrees
133,('bootstrap'; 'criterion'),0.0003505429513958,satimage,ExtraTrees
134,('criterion'; 'min_samples_split'),0.0002536002820595,satimage,ExtraTrees
135,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0148919719924825,satimage,ExtraTrees
136,('bootstrap'; 'max_features'; 'min_samples_split'),0.002337635004203,satimage,ExtraTrees
137,criterion,0.0019078032742754,satimage,DecisionTree
138,max_features,0.434164556928851,satimage,DecisionTree
139,min_samples_leaf,0.145028426546995,satimage,DecisionTree
140,min_samples_split,0.0145148087519758,satimage,DecisionTree
141,('max_features'; 'min_samples_leaf'),0.0979385428049299,satimage,DecisionTree
142,('max_features'; 'min_samples_split'),0.0501783823640967,satimage,DecisionTree
143,('min_samples_leaf'; 'min_samples_split'),0.0382856953529418,satimage,DecisionTree
144,('criterion'; 'max_features'),0.0212964038072875,satimage,DecisionTree
145,('criterion'; 'min_samples_leaf'),0.0096317385415946,satimage,DecisionTree
146,('criterion'; 'min_samples_split'),0.0060809014552727,satimage,DecisionTree
147,('criterion'; 'max_features'; 'min_samples_leaf'),0.035106172230829,satimage,DecisionTree
148,bootstrap,0.0393199134884191,satimage,RandomForest
149,criterion,0.0008161781435819,satimage,RandomForest
150,max_features,0.1666736270216379,satimage,RandomForest
151,min_samples_leaf,0.6219757688000833,satimage,RandomForest
152,min_samples_split,0.0051544252231793,satimage,RandomForest
153,('bootstrap'; 'max_features'),0.048964017071066,satimage,RandomForest
154,('max_features'; 'min_samples_leaf'),0.033150014579437,satimage,RandomForest
155,('min_samples_leaf'; 'min_samples_split'),0.0123673793650256,satimage,RandomForest
156,('bootstrap'; 'min_samples_leaf'),0.0067352243599878,satimage,RandomForest
157,('max_features'; 'min_samples_split'),0.0059091168080058,satimage,RandomForest
158,('criterion'; 'min_samples_leaf'),0.0012990190492409,satimage,RandomForest
159,('bootstrap'; 'min_samples_split'),0.0012376942690487,satimage,RandomForest
160,('criterion'; 'max_features'),0.0010999007381125,satimage,RandomForest
161,('criterion'; 'min_samples_split'),0.0002722703787077,satimage,RandomForest
162,('bootstrap'; 'criterion'),0.0001127362490306,satimage,RandomForest
163,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0165412332048481,satimage,RandomForest
164,('bootstrap'; 'max_features'; 'min_samples_split'),0.0021736112705213,satimage,RandomForest
165,C,0.000596179201189,satimage,SVM
166,coef0,0.0025215012161067,satimage,SVM
167,gamma,0.4881762082378833,satimage,SVM
168,kernel,0.0232883460587019,satimage,SVM
169,shrinking,2.0409091580956124e-05,satimage,SVM
170,tol,0.0018767675383399,satimage,SVM
171,('gamma'; 'kernel'),0.4414342272286341,satimage,SVM
172,('gamma'; 'tol'),0.0071939936275842,satimage,SVM
173,('coef0'; 'gamma'),0.0045839706089026,satimage,SVM
174,('C'; 'gamma'),0.0032810306436166,satimage,SVM
175,('coef0'; 'kernel'),0.0016919579832605,satimage,SVM
176,('kernel'; 'tol'),0.0013890406404989,satimage,SVM
177,('C'; 'coef0'),0.0006189030992601,satimage,SVM
178,('C'; 'kernel'),0.0005143517780934,satimage,SVM
179,('coef0'; 'tol'),0.0004308979059602,satimage,SVM
180,('C'; 'tol'),0.0002223777272306,satimage,SVM
181,('C'; 'kernel'; 'gamma'),0.0028106669768787,satimage,SVM
182,algorithm,0.0037872664519429,shuttle,AdaBoost
183,learning_rate,0.0859241123294087,shuttle,AdaBoost
184,max_depth,0.1766441056462091,shuttle,AdaBoost
185,n_estimators,0.0543896940292214,shuttle,AdaBoost
186,('learning_rate'; 'max_depth'),0.166337743912897,shuttle,AdaBoost
187,('max_depth'; 'n_estimators'),0.1041797922956371,shuttle,AdaBoost
188,('learning_rate'; 'n_estimators'),0.0696433766794693,shuttle,AdaBoost
189,('algorithm'; 'max_depth'),0.0423819773723509,shuttle,AdaBoost
190,('algorithm'; 'learning_rate'),0.0170292229617665,shuttle,AdaBoost
191,('algorithm'; 'n_estimators'),0.0091340192028246,shuttle,AdaBoost
192,('algorithm'; 'max_depth'; 'learning_rate'),0.0973262589565738,shuttle,AdaBoost
193,criterion,7.283046979731324e-05,shuttle,GradientBoosting
194,learning_rate,0.3338768963958214,shuttle,GradientBoosting
195,max_depth,0.2283510996178384,shuttle,GradientBoosting
196,max_features,0.0314832602179295,shuttle,GradientBoosting
197,min_samples_leaf,0.0059709410107557,shuttle,GradientBoosting
198,min_samples_split,0.0016144993697522,shuttle,GradientBoosting
199,n_estimators,0.002017544705874,shuttle,GradientBoosting
200,('learning_rate'; 'max_depth'),0.1800185990035397,shuttle,GradientBoosting
201,('learning_rate'; 'max_features'),0.0313603816098139,shuttle,GradientBoosting
202,('max_depth'; 'max_features'),0.0156757356501255,shuttle,GradientBoosting
203,('learning_rate'; 'min_samples_leaf'),0.0113447444100628,shuttle,GradientBoosting
204,('max_depth'; 'min_samples_leaf'),0.006050686781011,shuttle,GradientBoosting
205,('max_depth'; 'n_estimators'),0.0052569926530827,shuttle,GradientBoosting
206,('learning_rate'; 'n_estimators'),0.0049934372525148,shuttle,GradientBoosting
207,('max_features'; 'min_samples_split'),0.003197243544193,shuttle,GradientBoosting
208,('max_depth'; 'min_samples_split'),0.0028111158624054,shuttle,GradientBoosting
209,('max_features'; 'n_estimators'),0.0025578993129439,shuttle,GradientBoosting
210,('criterion'; 'max_features'; 'min_samples_leaf'),7.08829131468045e-05,shuttle,GradientBoosting
211,bootstrap,0.0001702535355933,shuttle,ExtraTrees
212,criterion,0.0001137348066112,shuttle,ExtraTrees
213,max_features,0.7772872275305182,shuttle,ExtraTrees
214,min_samples_leaf,0.0776518329686223,shuttle,ExtraTrees
215,min_samples_split,0.001074216441447,shuttle,ExtraTrees
216,('max_features'; 'min_samples_leaf'),0.1142684188479641,shuttle,ExtraTrees
217,('max_features'; 'min_samples_split'),0.0051589204093219,shuttle,ExtraTrees
218,('min_samples_leaf'; 'min_samples_split'),0.0026187258250274,shuttle,ExtraTrees
219,('bootstrap'; 'min_samples_leaf'),0.0013563071433896,shuttle,ExtraTrees
220,('criterion'; 'max_features'),0.001135660620398,shuttle,ExtraTrees
221,('bootstrap'; 'max_features'),0.0009700074311893,shuttle,ExtraTrees
222,('criterion'; 'min_samples_leaf'),0.0005841534772547,shuttle,ExtraTrees
223,('bootstrap'; 'min_samples_split'),0.0003412869879474,shuttle,ExtraTrees
224,('criterion'; 'min_samples_split'),0.0001432691191144,shuttle,ExtraTrees
225,('bootstrap'; 'criterion'),1.4874939215768723e-05,shuttle,ExtraTrees
226,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0032158394008118,shuttle,ExtraTrees
227,('bootstrap'; 'max_features'; 'min_samples_split'),0.0004916084633157,shuttle,ExtraTrees
228,criterion,0.0019309422753222,shuttle,DecisionTree
229,max_features,0.709598291248536,shuttle,DecisionTree
230,min_samples_leaf,0.120985356902201,shuttle,DecisionTree
231,min_samples_split,0.0028075184567208,shuttle,DecisionTree
232,('max_features'; 'min_samples_leaf'),0.102683935564985,shuttle,DecisionTree
233,('max_features'; 'min_samples_split'),0.0152927284194207,shuttle,DecisionTree
234,('min_samples_leaf'; 'min_samples_split'),0.0076261475951666,shuttle,DecisionTree
235,('criterion'; 'max_features'),0.002841030793525,shuttle,DecisionTree
236,('criterion'; 'min_samples_leaf'),0.0015757779131252,shuttle,DecisionTree
237,('criterion'; 'min_samples_split'),0.0005361584375042,shuttle,DecisionTree
238,('criterion'; 'max_features'; 'min_samples_leaf'),0.0070159926143797,shuttle,DecisionTree
239,bootstrap,0.0676549881184276,shuttle,RandomForest
240,criterion,0.0060131759228941,shuttle,RandomForest
241,max_features,0.2911697570582992,shuttle,RandomForest
242,min_samples_leaf,0.4084374594038457,shuttle,RandomForest
243,min_samples_split,0.0018475971435701,shuttle,RandomForest
244,('max_features'; 'min_samples_leaf'),0.0763112833649878,shuttle,RandomForest
245,('bootstrap'; 'min_samples_leaf'),0.0245298760816544,shuttle,RandomForest
246,('bootstrap'; 'max_features'),0.0187961621013996,shuttle,RandomForest
247,('max_features'; 'min_samples_split'),0.0060109026488411,shuttle,RandomForest
248,('criterion'; 'min_samples_leaf'),0.0054417715014421,shuttle,RandomForest
249,('min_samples_leaf'; 'min_samples_split'),0.0051881168258945,shuttle,RandomForest
250,('criterion'; 'max_features'),0.0048969084549597,shuttle,RandomForest
251,('bootstrap'; 'min_samples_split'),0.0012556704334547,shuttle,RandomForest
252,('criterion'; 'min_samples_split'),0.0004374125535566,shuttle,RandomForest
253,('bootstrap'; 'criterion'),0.0003666544300612,shuttle,RandomForest
254,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0373296877285173,shuttle,RandomForest
255,('bootstrap'; 'max_features'; 'min_samples_split'),0.0033865310766772,shuttle,RandomForest
256,C,0.0001486038510198,shuttle,SVM
257,coef0,0.0008196283701213,shuttle,SVM
258,gamma,0.0133138767604666,shuttle,SVM
259,kernel,0.963646907627452,shuttle,SVM
260,shrinking,7.73647704358766e-07,shuttle,SVM
261,tol,0.0003022998913282,shuttle,SVM
262,('gamma'; 'kernel'),0.0128011031118354,shuttle,SVM
263,('gamma'; 'tol'),0.002184411667295,shuttle,SVM
264,('coef0'; 'kernel'),0.0009356971385285,shuttle,SVM
265,('coef0'; 'gamma'),0.0005336810045463,shuttle,SVM
266,('kernel'; 'tol'),0.0004776799393384,shuttle,SVM
267,('C'; 'gamma'),0.0003652105889115,shuttle,SVM
268,('C'; 'coef0'),0.0002084503772328,shuttle,SVM
269,('coef0'; 'tol'),0.0001783613005349,shuttle,SVM
270,('C'; 'tol'),0.0001436139714977,shuttle,SVM
271,('C'; 'kernel'),0.000131523867179,shuttle,SVM
272,('C'; 'kernel'; 'gamma'),0.0003732828651925,shuttle,SVM
273,algorithm,0.0493079692994203,phpxijhaP,AdaBoost
274,learning_rate,0.4269859727938582,phpxijhaP,AdaBoost
275,max_depth,0.0087998441625391,phpxijhaP,AdaBoost
276,n_estimators,0.1102578426197505,phpxijhaP,AdaBoost
277,('learning_rate'; 'n_estimators'),0.0914874741853293,phpxijhaP,AdaBoost
278,('learning_rate'; 'max_depth'),0.0585541453551603,phpxijhaP,AdaBoost
279,('algorithm'; 'learning_rate'),0.051564455757642,phpxijhaP,AdaBoost
280,('max_depth'; 'n_estimators'),0.0352016364204369,phpxijhaP,AdaBoost
281,('algorithm'; 'n_estimators'),0.0234626908258031,phpxijhaP,AdaBoost
282,('algorithm'; 'max_depth'),0.014250147922671,phpxijhaP,AdaBoost
283,('algorithm'; 'max_depth'; 'learning_rate'),0.0365040582496878,phpxijhaP,AdaBoost
284,criterion,0.0003573000340247,phpxijhaP,GradientBoosting
285,learning_rate,0.3120549648777878,phpxijhaP,GradientBoosting
286,max_depth,0.0315573483333336,phpxijhaP,GradientBoosting
287,max_features,0.0113577976277473,phpxijhaP,GradientBoosting
288,min_samples_leaf,0.0041644914180649,phpxijhaP,GradientBoosting
289,min_samples_split,0.0028576054703583,phpxijhaP,GradientBoosting
290,n_estimators,0.0413533327377819,phpxijhaP,GradientBoosting
291,('learning_rate'; 'n_estimators'),0.1449806642669644,phpxijhaP,GradientBoosting
292,('learning_rate'; 'max_depth'),0.0683206232989662,phpxijhaP,GradientBoosting
293,('learning_rate'; 'max_features'),0.0566990795949894,phpxijhaP,GradientBoosting
294,('learning_rate'; 'min_samples_split'),0.0258916293348097,phpxijhaP,GradientBoosting
295,('max_features'; 'n_estimators'),0.0180105057987923,phpxijhaP,GradientBoosting
296,('learning_rate'; 'min_samples_leaf'),0.0126733149301323,phpxijhaP,GradientBoosting
297,('min_samples_leaf'; 'n_estimators'),0.0089287654578695,phpxijhaP,GradientBoosting
298,('max_depth'; 'n_estimators'),0.0070440146240385,phpxijhaP,GradientBoosting
299,('max_depth'; 'max_features'),0.0051083936829982,phpxijhaP,GradientBoosting
300,('max_features'; 'min_samples_leaf'),0.0049674213248772,phpxijhaP,GradientBoosting
301,('criterion'; 'max_features'; 'min_samples_leaf'),0.0001479745619407,phpxijhaP,GradientBoosting
302,bootstrap,0.0005785455527318,phpxijhaP,ExtraTrees
303,criterion,0.0031230887916481,phpxijhaP,ExtraTrees
304,max_features,0.6704649229110617,phpxijhaP,ExtraTrees
305,min_samples_leaf,0.1287319771390096,phpxijhaP,ExtraTrees
306,min_samples_split,0.0031062030565079,phpxijhaP,ExtraTrees
307,('max_features'; 'min_samples_leaf'),0.0641932172624894,phpxijhaP,ExtraTrees
308,('max_features'; 'min_samples_split'),0.0140471206396264,phpxijhaP,ExtraTrees
309,('bootstrap'; 'max_features'),0.0087622643097374,phpxijhaP,ExtraTrees
310,('min_samples_leaf'; 'min_samples_split'),0.0087253891180537,phpxijhaP,ExtraTrees
311,('criterion'; 'max_features'),0.0065157612702896,phpxijhaP,ExtraTrees
312,('criterion'; 'min_samples_leaf'),0.0029949622347367,phpxijhaP,ExtraTrees
313,('bootstrap'; 'min_samples_leaf'),0.0027656014862052,phpxijhaP,ExtraTrees
314,('criterion'; 'min_samples_split'),0.0008735059181529,phpxijhaP,ExtraTrees
315,('bootstrap'; 'min_samples_split'),0.0007536259156389,phpxijhaP,ExtraTrees
316,('bootstrap'; 'criterion'),0.000204046401045,phpxijhaP,ExtraTrees
317,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0121180476937173,phpxijhaP,ExtraTrees
318,('bootstrap'; 'max_features'; 'min_samples_split'),0.0038364768421493,phpxijhaP,ExtraTrees
319,criterion,0.110401825072743,phpxijhaP,DecisionTree
320,max_features,0.0157622925292975,phpxijhaP,DecisionTree
321,min_samples_leaf,0.580246809468312,phpxijhaP,DecisionTree
322,min_samples_split,0.0131672209223593,phpxijhaP,DecisionTree
323,('min_samples_leaf'; 'min_samples_split'),0.0410269410380269,phpxijhaP,DecisionTree
324,('max_features'; 'min_samples_leaf'),0.0408703093754514,phpxijhaP,DecisionTree
325,('criterion'; 'min_samples_leaf'),0.0208549558062912,phpxijhaP,DecisionTree
326,('max_features'; 'min_samples_split'),0.0138169053760408,phpxijhaP,DecisionTree
327,('criterion'; 'max_features'),0.0132323845024219,phpxijhaP,DecisionTree
328,('criterion'; 'min_samples_split'),0.0074044514660842,phpxijhaP,DecisionTree
329,('criterion'; 'max_features'; 'min_samples_leaf'),0.0371914367478558,phpxijhaP,DecisionTree
330,bootstrap,0.2828018871006248,phpxijhaP,RandomForest
331,criterion,0.0068842955901508,phpxijhaP,RandomForest
332,max_features,0.3565483511714851,phpxijhaP,RandomForest
333,min_samples_leaf,0.0343015248223254,phpxijhaP,RandomForest
334,min_samples_split,0.0015770595005377,phpxijhaP,RandomForest
335,('bootstrap'; 'max_features'),0.2238490641476627,phpxijhaP,RandomForest
336,('max_features'; 'min_samples_leaf'),0.0206371918076516,phpxijhaP,RandomForest
337,('max_features'; 'min_samples_split'),0.0125042351483453,phpxijhaP,RandomForest
338,('bootstrap'; 'min_samples_leaf'),0.0039381575498862,phpxijhaP,RandomForest
339,('min_samples_leaf'; 'min_samples_split'),0.0019561728943631,phpxijhaP,RandomForest
340,('criterion'; 'max_features'),0.0017978625624409,phpxijhaP,RandomForest
341,('bootstrap'; 'criterion'),0.0012747320414175,phpxijhaP,RandomForest
342,('bootstrap'; 'min_samples_split'),0.0010608472626424,phpxijhaP,RandomForest
343,('criterion'; 'min_samples_leaf'),0.0007855304881138,phpxijhaP,RandomForest
344,('criterion'; 'min_samples_split'),0.0002660255335775,phpxijhaP,RandomForest
345,('bootstrap'; 'max_features'; 'min_samples_leaf'),0.0167208976613112,phpxijhaP,RandomForest
346,('bootstrap'; 'max_features'; 'min_samples_split'),0.0058478526230404,phpxijhaP,RandomForest
347,C,4.259547712254917e-05,phpxijhaP,SVM
348,coef0,0.0007391651205015,phpxijhaP,SVM
349,gamma,0.0990121024877431,phpxijhaP,SVM
350,kernel,0.79860839092237,phpxijhaP,SVM
351,shrinking,3.5106764717006487e-06,phpxijhaP,SVM
352,tol,0.000594773579687,phpxijhaP,SVM
353,('gamma'; 'kernel'),0.0959677144631074,phpxijhaP,SVM
354,('coef0'; 'kernel'),0.000721500877429,phpxijhaP,SVM
355,('gamma'; 'tol'),0.0006169390933095,phpxijhaP,SVM
356,('kernel'; 'tol'),0.0005920418547497,phpxijhaP,SVM
357,('coef0'; 'gamma'),0.0003643767738066,phpxijhaP,SVM
358,('C'; 'gamma'),0.0003382854290961,phpxijhaP,SVM
359,('coef0'; 'tol'),0.0002055303505114,phpxijhaP,SVM
360,('C'; 'tol'),6.684748227289509e-05,phpxijhaP,SVM
361,('C'; 'coef0'),5.990066153751966e-05,phpxijhaP,SVM
362,('gamma'; 'shrinking'),4.289894410706814e-05,phpxijhaP,SVM
363,('C'; 'kernel'; 'gamma'),0.0002494072603694,phpxijhaP,SVM
364,algorithm,0.0523793652604499,electricity-normalized,AdaBoost
365,learning_rate,0.0841348596149514,electricity-normalized,AdaBoost
366,max_depth,0.5109559746751658,electricity-normalized,AdaBoost
367,n_estimators,0.0456127722618711,electricity-normalized,AdaBoost
368,('algorithm'; 'learning_rate'),0.0577632691939762,electricity-normalized,AdaBoost
369,('algorithm'; 'max_depth'),0.0571913122179804,electricity-normalized,AdaBoost
370,('learning_rate'; 'max_depth'),0.0411472308562596,electricity-normalized,AdaBoost
371,('max_depth'; 'n_estimators'),0.0215817450836125,electricity-normalized,AdaBoost
372,('learning_rate'; 'n_estimators'),0.0153856582904703,electricity-normalized,AdaBoost
373,('algorithm'; 'n_estimators'),0.0033646337855484,electricity-normalized,AdaBoost
374,('algorithm'; 'max_depth'; 'learning_rate'),0.0349738287781023,electricity-normalized,AdaBoost
