,dataset,classifier,parameters,CV_accuracy,CV_f1_score,CV_recall,CV_precision,CV_auc
0,analcatdata_authorship.csv,SGDClassifier,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.004150172079946226, 'learning_rate': 'optimal', 'fit_intercept': False, 'l1_ratio': 0.4856239466280279, 'eta0': 1.6592373628859858, 'power_t': 2.8887696125490336}",0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9968253968253968
1,churn.csv,SGDClassifier,"{'loss': 'perceptron', 'penalty': 'l1', 'alpha': 0.005288291615261189, 'learning_rate': 'invscaling', 'fit_intercept': False, 'l1_ratio': 0.0888428029435474, 'eta0': 0.8261592006898183, 'power_t': 0.3295768373550401}",0.8674000000000002,0.12500550755992865,0.07361901907901308,0.7578947368421053,0.5358781940563866
2,dataset_36_segment.csv,SGDClassifier,"{'loss': 'squared_hinge', 'penalty': 'elasticnet', 'alpha': 0.002673461873795903, 'learning_rate': 'optimal', 'fit_intercept': False, 'l1_ratio': 0.9074326777011328, 'eta0': 0.3911530212472997, 'power_t': 4.149116404232645}",0.8303030303030303,0.8303030303030303,0.8303030303030303,0.8303030303030303,0.901010101010101
3,eye_movements.csv,SGDClassifier,"{'loss': 'perceptron', 'penalty': 'l1', 'alpha': 0.01317468779495332, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.6830224584479363, 'eta0': 2.3881793156206603, 'power_t': 1.8365553854834151}",0.45624142661179706,0.45624142661179706,0.45624142661179706,0.45624142661179706,0.5921810699588478
4,file7a97574fa9ae.csv,SGDClassifier,"{'loss': 'squared_hinge', 'penalty': 'l1', 'alpha': 0.012086712665843578, 'learning_rate': 'constant', 'fit_intercept': False, 'l1_ratio': 0.6078903229178456, 'eta0': 0.3767220863303045, 'power_t': 2.4192749539034746}",0.6615969893292684,0.4942567912007497,0.4104958576998051,0.8899631779966539,0.661504781920078
5,fri_c2_1000_10.csv,SGDClassifier,"{'loss': 'hinge', 'penalty': 'l2', 'alpha': 0.0448922296695312, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.5928686633456551, 'eta0': 1.68734682316398, 'power_t': 1.2766703239607946}",0.779,0.7346242483965939,0.7261904761904763,0.745745686238644,0.7717159277504105
6,fri_c2_1000_5.csv,SGDClassifier,"{'loss': 'hinge', 'penalty': 'l1', 'alpha': 0.013163330030884678, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.09431732374366608, 'eta0': 0.015058181198843168, 'power_t': 4.599361972921198}",0.794,0.7557324863301875,0.7667240390131956,0.7461133331191265,0.7900301597954277
7,jungle_chess_2pcs_raw_endgame_complete.csv,SGDClassifier,"{'loss': 'hinge', 'penalty': 'l1', 'alpha': 0.013163330030884678, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.09431732374366608, 'eta0': 0.015058181198843168, 'power_t': 4.599361972921198}",0.6791093514848067,0.6791093514848067,0.6791093514848067,0.6791093514848067,0.759332013613605
8,kc1.csv,SGDClassifier,"{'loss': 'hinge', 'penalty': 'l1', 'alpha': 0.027397461924640886, 'learning_rate': 'invscaling', 'fit_intercept': False, 'l1_ratio': 0.7982903136259074, 'eta0': 4.452790659630407, 'power_t': 1.6346980897121028}",0.8553072688588443,0.2513917863315454,0.1594871794871795,0.6456510809451986,0.5710428060593296
9,kdd_JapaneseVowels.csv,SGDClassifier,"{'loss': 'log', 'penalty': 'l2', 'alpha': 0.01607828394138171, 'learning_rate': 'invscaling', 'fit_intercept': False, 'l1_ratio': 0.11032676529003872, 'eta0': 1.3401764325384158, 'power_t': 0.533280345120995}",0.8680859413569986,0.3168092110533044,0.1907909159086976,0.9729900111301854,0.5949162366486079
10,kin8nm.csv,SGDClassifier,"{'loss': 'log', 'penalty': 'l1', 'alpha': 0.0019536233302115415, 'learning_rate': 'constant', 'fit_intercept': True, 'l1_ratio': 0.5599702616407817, 'eta0': 0.25721343686425924, 'power_t': 2.324513056076328}",0.7117929795782145,0.6963428005823344,0.6547413209888272,0.7547768321735606,0.7127980267686326
11,mfeat-morphological.csv,SGDClassifier,"{'loss': 'modified_huber', 'penalty': 'elasticnet', 'alpha': 0.004739764170429401, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.5448765637028319, 'eta0': 2.708414628162157, 'power_t': 3.809669505267573}",0.95,0.6644324486429749,0.5449999999999999,0.946527777777778,0.7700000000000001
12,mozilla4.csv,SGDClassifier,"{'loss': 'squared_hinge', 'penalty': 'l1', 'alpha': 0.01879795240911213, 'learning_rate': 'invscaling', 'fit_intercept': False, 'l1_ratio': 0.4426628381341339, 'eta0': 3.3344288853011186, 'power_t': 2.5988909004377545}",0.7369996311617412,0.7475609161321682,0.6502740005177094,0.947523726744629,0.7822587737398249
13,page-blocks.csv,SGDClassifier,"{'loss': 'log', 'penalty': 'l2', 'alpha': 0.0121798927703549, 'learning_rate': 'optimal', 'fit_intercept': False, 'l1_ratio': 0.0900909661692988, 'eta0': 1.2498160098182305, 'power_t': 2.1050943318951907}",0.7870005759935892,0.8195519297558895,0.7769770414770032,0.9839878620201336,0.8259885207385016
14,php5s7Ep8.csv,SGDClassifier,"{'loss': 'modified_huber', 'penalty': 'l1', 'alpha': 0.005056178231131226, 'learning_rate': 'optimal', 'fit_intercept': True, 'l1_ratio': 0.07115002429132755, 'eta0': 4.3594092405858635, 'power_t': 0.6466098802042003}",0.4605769485596162,0.4605769485596162,0.4605769485596162,0.4605769485596162,0.6853365533264428
